Entity,Code,Year,"14.1.1 - Chlorophyll-a deviations, remote sensing (%) - EN_MAR_CHLDEV"
Aruba,ABW,2016,2.11
Aruba,ABW,2017,4.24
Aruba,ABW,2018,1.71
Aruba,ABW,2019,1.94
Asia,,2000,3.8
Asia,,2001,4.09
Asia,,2002,4.45
Asia,,2003,4.53
Asia,,2004,5.25
Asia,,2005,4.84
Asia,,2006,6.05
Asia,,2007,5.19
Asia,,2008,4.61
Asia,,2009,4.51
Asia,,2010,4.25
Asia,,2011,3.59
Asia,,2012,3.81
Asia,,2013,4.75
Asia,,2014,3.66
Asia,,2015,3.26
Asia,,2016,3.21
Asia,,2017,3.38
Asia,,2018,2.53
Asia,,2019,3.18
Australia,AUS,2000,1.21
Australia,AUS,2001,1.72
Australia,AUS,2002,1.43
Australia,AUS,2003,3.51
Australia,AUS,2004,2.66
Australia,AUS,2005,1.79
Australia,AUS,2006,2.18
Australia,AUS,2007,2.12
Australia,AUS,2008,1.57
Australia,AUS,2009,2.02
Australia,AUS,2010,1.59
Australia,AUS,2011,1.51
Australia,AUS,2012,1.69
Australia,AUS,2013,1.78
Australia,AUS,2014,1.85
Australia,AUS,2015,1.78
Australia,AUS,2016,1.26
Australia,AUS,2017,1.82
Australia,AUS,2018,1.09
Australia,AUS,2019,2.19
Australia and New Zealand,,2000,1.21
Australia and New Zealand,,2001,1.76
Australia and New Zealand,,2002,1.47
Australia and New Zealand,,2003,3.49
Australia and New Zealand,,2004,2.82
Australia and New Zealand,,2005,1.85
Australia and New Zealand,,2006,2.21
Australia and New Zealand,,2007,2.17
Australia and New Zealand,,2008,1.63
Australia and New Zealand,,2009,2.12
Australia and New Zealand,,2010,1.62
Australia and New Zealand,,2011,1.55
Australia and New Zealand,,2012,1.7
Australia and New Zealand,,2013,1.83
Australia and New Zealand,,2014,1.85
Australia and New Zealand,,2015,1.8
Australia and New Zealand,,2016,1.3
Australia and New Zealand,,2017,1.84
Australia and New Zealand,,2018,1.15
Australia and New Zealand,,2019,2.28
Bahamas,BHS,2000,0.59
Bahamas,BHS,2001,1.49
Bahamas,BHS,2002,0.17
Bahamas,BHS,2003,0.51
Bahamas,BHS,2004,0.57
Bahamas,BHS,2005,0.32
Bahamas,BHS,2006,0.17
Bahamas,BHS,2007,0.42
Bahamas,BHS,2008,0.18
Bahamas,BHS,2009,0.27
Bahamas,BHS,2010,0.18
Bahamas,BHS,2011,0.31
Bahamas,BHS,2012,0.59
Bahamas,BHS,2013,0.61
Bahamas,BHS,2014,0.58
Bahamas,BHS,2015,0.86
Bahamas,BHS,2016,0.41
Bahamas,BHS,2017,0.73
Bahamas,BHS,2018,0.23
Bahamas,BHS,2019,0.71
Bahrain,BHR,2000,3.22
Bahrain,BHR,2002,6.21
Bahrain,BHR,2003,11.49
Bahrain,BHR,2004,4.14
Bahrain,BHR,2005,6.21
Bahrain,BHR,2006,2.07
Bahrain,BHR,2007,3.1
Bahrain,BHR,2008,6.48
Bahrain,BHR,2009,10.69
Bahrain,BHR,2012,4.14
Bahrain,BHR,2013,0.69
Bahrain,BHR,2014,0.69
Bahrain,BHR,2015,0.69
Bahrain,BHR,2016,0.69
Bahrain,BHR,2017,0.69
Bahrain,BHR,2018,0.69
Bahrain,BHR,2019,7.13
Bangladesh,BGD,2000,6.65
Bangladesh,BGD,2001,3.25
Bangladesh,BGD,2002,5.14
Bangladesh,BGD,2003,7.09
Bangladesh,BGD,2004,7.95
Bangladesh,BGD,2005,9.73
Bangladesh,BGD,2006,3.01
Bangladesh,BGD,2007,9.04
Bangladesh,BGD,2008,5.26
Bangladesh,BGD,2009,2.97
Bangladesh,BGD,2010,3.8
Bangladesh,BGD,2011,4.82
Bangladesh,BGD,2012,6
Bangladesh,BGD,2013,3.59
Bangladesh,BGD,2014,3.53
Bangladesh,BGD,2015,2.07
Bangladesh,BGD,2016,2.01
Bangladesh,BGD,2017,1.92
Bangladesh,BGD,2018,1.82
Bangladesh,BGD,2019,6.4
Barbados,BRB,2000,3.15
Barbados,BRB,2001,10.66
Barbados,BRB,2002,5.42
Barbados,BRB,2003,22.72
Barbados,BRB,2004,8.88
Barbados,BRB,2005,1.05
Barbados,BRB,2006,7.34
Barbados,BRB,2007,11.63
Barbados,BRB,2008,1.59
Barbados,BRB,2009,10.97
Barbados,BRB,2010,23.65
Barbados,BRB,2011,2.27
Barbados,BRB,2012,2.28
Barbados,BRB,2013,5.64
Barbados,BRB,2014,5.19
Barbados,BRB,2015,7.29
Barbados,BRB,2016,14.47
Barbados,BRB,2017,3.84
Barbados,BRB,2018,3.21
Barbados,BRB,2019,3.01
Belgium,BEL,2000,0.61
Belgium,BEL,2001,41.1
Belgium,BEL,2002,9.35
Belgium,BEL,2003,17.48
Belgium,BEL,2004,0.61
Belgium,BEL,2005,21.34
Belgium,BEL,2006,41.67
Belgium,BEL,2007,6.1
Belgium,BEL,2008,10.06
Belgium,BEL,2009,9.76
Belgium,BEL,2010,2.44
Belgium,BEL,2011,6.1
Belgium,BEL,2012,3.66
Belgium,BEL,2013,27.44
Belgium,BEL,2014,4.27
Belgium,BEL,2015,29.67
Belgium,BEL,2016,18.9
Belgium,BEL,2017,16.46
Belgium,BEL,2018,9.45
Belgium,BEL,2019,4.27
Belize,BLZ,2000,2.94
Belize,BLZ,2001,2.24
Belize,BLZ,2002,0.89
Belize,BLZ,2003,1.34
Belize,BLZ,2004,1.86
Belize,BLZ,2005,2.3
Belize,BLZ,2006,4.64
Belize,BLZ,2007,0.89
Belize,BLZ,2008,2.76
Belize,BLZ,2009,1.19
Belize,BLZ,2010,2.94
Belize,BLZ,2011,6.16
Belize,BLZ,2012,1.32
Belize,BLZ,2013,1.56
Belize,BLZ,2014,0.96
Belize,BLZ,2015,1.24
Belize,BLZ,2016,0.65
Belize,BLZ,2017,0.81
Belize,BLZ,2018,1.7
Belize,BLZ,2019,0.76
Benin,BEN,2000,2.08
Benin,BEN,2001,2.5
Benin,BEN,2002,5.05
Benin,BEN,2003,3.56
Benin,BEN,2004,0.93
Benin,BEN,2005,2.71
Benin,BEN,2006,8.57
Benin,BEN,2007,2.23
Benin,BEN,2008,6.38
Benin,BEN,2009,0.34
Benin,BEN,2010,11.58
Benin,BEN,2011,1.03
Benin,BEN,2012,3.91
Benin,BEN,2013,0.78
Benin,BEN,2014,1.43
Benin,BEN,2015,0.72
Benin,BEN,2016,2.62
Benin,BEN,2017,0.75
Benin,BEN,2018,4.73
Benin,BEN,2019,3.67
Bermuda,BMU,2000,0.15
Bermuda,BMU,2001,4.72
Bermuda,BMU,2002,0.29
Bermuda,BMU,2003,1.37
Bermuda,BMU,2004,1.35
Bermuda,BMU,2005,1.78
Bermuda,BMU,2006,6.73
Bermuda,BMU,2007,0.81
Bermuda,BMU,2008,0.21
Bermuda,BMU,2009,0.32
Bermuda,BMU,2010,4.57
Bermuda,BMU,2011,1.31
Bermuda,BMU,2012,0.3
Bermuda,BMU,2013,2.14
Bermuda,BMU,2014,0.19
Bermuda,BMU,2015,0.44
Bermuda,BMU,2016,0
Bermuda,BMU,2017,0.62
Bermuda,BMU,2018,0.14
Bermuda,BMU,2019,0.04
Bonaire Sint Eustatius and Saba,BES,2000,3.13
Bonaire Sint Eustatius and Saba,BES,2001,0.96
Bonaire Sint Eustatius and Saba,BES,2002,2.17
Bonaire Sint Eustatius and Saba,BES,2003,14.32
Bonaire Sint Eustatius and Saba,BES,2004,0.85
Bonaire Sint Eustatius and Saba,BES,2005,0.32
Bonaire Sint Eustatius and Saba,BES,2006,5.63
Bonaire Sint Eustatius and Saba,BES,2007,0.32
Bonaire Sint Eustatius and Saba,BES,2008,0.26
Bonaire Sint Eustatius and Saba,BES,2009,14.45
Bonaire Sint Eustatius and Saba,BES,2010,5.07
Bonaire Sint Eustatius and Saba,BES,2012,4.22
Bonaire Sint Eustatius and Saba,BES,2013,4.43
Bonaire Sint Eustatius and Saba,BES,2014,5.84
Bonaire Sint Eustatius and Saba,BES,2015,1.45
Bonaire Sint Eustatius and Saba,BES,2016,1.34
Bonaire Sint Eustatius and Saba,BES,2017,4.09
Bonaire Sint Eustatius and Saba,BES,2018,6.45
Bonaire Sint Eustatius and Saba,BES,2019,0.94
Brazil,BRA,2000,1.78
Brazil,BRA,2001,2.78
Brazil,BRA,2002,2.01
Brazil,BRA,2003,3.05
Brazil,BRA,2004,1
Brazil,BRA,2005,1.17
Brazil,BRA,2006,1.94
Brazil,BRA,2007,2.65
Brazil,BRA,2008,2.62
Brazil,BRA,2009,2.18
Brazil,BRA,2010,1.97
Brazil,BRA,2011,1.82
Brazil,BRA,2012,1.6
Brazil,BRA,2013,1.46
Brazil,BRA,2014,2.22
Brazil,BRA,2015,1.43
Brazil,BRA,2016,2.83
Brazil,BRA,2017,2.6
Brazil,BRA,2018,0.66
Brazil,BRA,2019,1.53
British Virgin Islands,VGB,2000,12.54
British Virgin Islands,VGB,2001,1
British Virgin Islands,VGB,2002,0.12
British Virgin Islands,VGB,2003,1.64
British Virgin Islands,VGB,2004,1.82
British Virgin Islands,VGB,2005,2.7
British Virgin Islands,VGB,2006,1.33
British Virgin Islands,VGB,2007,5.76
British Virgin Islands,VGB,2008,0.11
British Virgin Islands,VGB,2009,10.64
British Virgin Islands,VGB,2010,0.87
British Virgin Islands,VGB,2011,0.03
British Virgin Islands,VGB,2012,0.18
British Virgin Islands,VGB,2013,1.04
British Virgin Islands,VGB,2014,0.03
British Virgin Islands,VGB,2015,1.41
British Virgin Islands,VGB,2016,0.31
British Virgin Islands,VGB,2017,1.4
British Virgin Islands,VGB,2018,1.51
British Virgin Islands,VGB,2019,0.17
Brunei,BRN,2000,5.47
Brunei,BRN,2001,4.71
Brunei,BRN,2002,1.58
Brunei,BRN,2003,4.07
Brunei,BRN,2004,1.09
Brunei,BRN,2005,3.25
Brunei,BRN,2006,4.87
Brunei,BRN,2007,8.4
Brunei,BRN,2008,6.52
Brunei,BRN,2009,7.19
Brunei,BRN,2010,5.37
Brunei,BRN,2011,3.08
Brunei,BRN,2012,2.67
Brunei,BRN,2013,3.75
Brunei,BRN,2014,3.82
Brunei,BRN,2015,6.8
Brunei,BRN,2016,0.97
Brunei,BRN,2017,2.7
Brunei,BRN,2018,2.97
Brunei,BRN,2019,0.86
Bulgaria,BGR,2000,3.95
Bulgaria,BGR,2001,23.99
Bulgaria,BGR,2002,4.69
Bulgaria,BGR,2003,9.01
Bulgaria,BGR,2004,1.6
Bulgaria,BGR,2005,2.94
Bulgaria,BGR,2006,3.54
Bulgaria,BGR,2007,2.88
Bulgaria,BGR,2008,4.93
Bulgaria,BGR,2009,5.48
Bulgaria,BGR,2010,5.15
Bulgaria,BGR,2011,0.13
Bulgaria,BGR,2012,2.07
Bulgaria,BGR,2013,4.78
Bulgaria,BGR,2014,1.38
Bulgaria,BGR,2015,2.29
Bulgaria,BGR,2016,0.39
Bulgaria,BGR,2017,2.45
Bulgaria,BGR,2018,1.57
Bulgaria,BGR,2019,0.94
Cambodia,KHM,2000,0.57
Cambodia,KHM,2001,1.72
Cambodia,KHM,2002,2.46
Cambodia,KHM,2003,0.72
Cambodia,KHM,2004,0.55
Cambodia,KHM,2005,3.26
Cambodia,KHM,2006,1.71
Cambodia,KHM,2007,1.19
Cambodia,KHM,2008,1.08
Cambodia,KHM,2009,1.04
Cambodia,KHM,2010,1.74
Cambodia,KHM,2011,1.1
Cambodia,KHM,2012,0.87
Cambodia,KHM,2013,1.79
Cambodia,KHM,2014,1.19
Cambodia,KHM,2015,0.27
Cambodia,KHM,2016,0.67
Cambodia,KHM,2017,0.12
Cambodia,KHM,2018,2.52
Cambodia,KHM,2019,1.64
Cameroon,CMR,2000,2.25
Cameroon,CMR,2001,1.41
Cameroon,CMR,2002,5.45
Cameroon,CMR,2003,3.85
Cameroon,CMR,2004,3.85
Cameroon,CMR,2005,4.69
Cameroon,CMR,2006,8.69
Cameroon,CMR,2007,6.15
Cameroon,CMR,2008,4.27
Cameroon,CMR,2009,7.6
Cameroon,CMR,2010,5.68
Cameroon,CMR,2011,2.21
Cameroon,CMR,2012,4.34
Cameroon,CMR,2013,4.58
Cameroon,CMR,2014,5.28
Cameroon,CMR,2015,6.22
Cameroon,CMR,2016,2.99
Cameroon,CMR,2017,7.98
Cameroon,CMR,2018,5.93
Cameroon,CMR,2019,9.21
Canada,CAN,2000,0.9
Canada,CAN,2001,1.44
Canada,CAN,2002,1.94
Canada,CAN,2003,1.71
Canada,CAN,2004,1.48
Canada,CAN,2005,2.49
Canada,CAN,2006,2.72
Canada,CAN,2007,2.1
Canada,CAN,2008,1.97
Canada,CAN,2009,2.44
Canada,CAN,2010,2.42
Canada,CAN,2011,2.09
Canada,CAN,2012,1.66
Canada,CAN,2013,1.3
Canada,CAN,2014,1.33
Canada,CAN,2015,1.68
Canada,CAN,2016,1.86
Canada,CAN,2017,1.55
Canada,CAN,2018,2.01
Canada,CAN,2019,1.22
Cape Verde,CPV,2000,1.41
Cape Verde,CPV,2001,4.93
Cape Verde,CPV,2002,1.34
Cape Verde,CPV,2003,8.59
Cape Verde,CPV,2004,1.84
Cape Verde,CPV,2005,1.36
Cape Verde,CPV,2006,1.62
Cape Verde,CPV,2007,4.77
Cape Verde,CPV,2008,2.44
Cape Verde,CPV,2009,3.35
Cape Verde,CPV,2010,0.75
Cape Verde,CPV,2011,0.33
Cape Verde,CPV,2012,3.1
Cape Verde,CPV,2013,2.02
Cape Verde,CPV,2014,8.28
Cape Verde,CPV,2015,7.88
Cape Verde,CPV,2016,2.8
Cape Verde,CPV,2017,3.85
Cape Verde,CPV,2018,9.73
Cape Verde,CPV,2019,2.38
Caribbean,,2000,1.29
Caribbean,,2001,1.07
Caribbean,,2002,1.56
Caribbean,,2003,2.07
Caribbean,,2004,1.31
Caribbean,,2005,0.49
Caribbean,,2006,1.45
Caribbean,,2007,1.05
Caribbean,,2008,0.8
Caribbean,,2009,5.6
Caribbean,,2010,2.64
Caribbean,,2011,0.54
Caribbean,,2012,1.97
Caribbean,,2013,1.24
Caribbean,,2014,0.83
Caribbean,,2015,0.96
Caribbean,,2016,1.54
Caribbean,,2017,1.43
Caribbean,,2018,2.37
Caribbean,,2019,0.71
Cayman Islands,CYM,2000,0.18
Cayman Islands,CYM,2001,1.33
Cayman Islands,CYM,2002,0.05
Cayman Islands,CYM,2003,0.57
Cayman Islands,CYM,2004,0.03
Cayman Islands,CYM,2005,0.26
Cayman Islands,CYM,2006,0.02
Cayman Islands,CYM,2007,0.03
Cayman Islands,CYM,2008,0.05
Cayman Islands,CYM,2009,0.04
Cayman Islands,CYM,2010,0.04
Cayman Islands,CYM,2011,0.03
Cayman Islands,CYM,2012,0.06
Cayman Islands,CYM,2013,0.09
Cayman Islands,CYM,2014,0.18
Cayman Islands,CYM,2015,0.15
Cayman Islands,CYM,2016,0.02
Cayman Islands,CYM,2017,0.04
Cayman Islands,CYM,2018,0.06
Cayman Islands,CYM,2019,0.04
Central America,,2000,6.68
Central America,,2001,5.81
Central America,,2002,4.95
Central America,,2003,3.27
Central America,,2004,2.88
Central America,,2005,2.1
Central America,,2006,2.09
Central America,,2007,3.07
Central America,,2008,4.13
Central America,,2009,2.18
Central America,,2010,3.7
Central America,,2011,6.57
Central America,,2012,3.6
Central America,,2013,3.54
Central America,,2014,2.19
Central America,,2015,1.46
Central America,,2016,0.81
Central America,,2017,1.05
Central America,,2018,1.44
Central America,,2019,1.17
Chile,CHL,2000,3.29
Chile,CHL,2001,3.64
Chile,CHL,2002,5.72
Chile,CHL,2003,7.81
Chile,CHL,2004,9.27
Chile,CHL,2005,9.71
Chile,CHL,2006,5.91
Chile,CHL,2007,4.55
Chile,CHL,2008,5.48
Chile,CHL,2009,6.28
Chile,CHL,2010,6.86
Chile,CHL,2011,6.86
Chile,CHL,2012,4.67
Chile,CHL,2013,7.69
Chile,CHL,2014,9.82
Chile,CHL,2015,8.04
Chile,CHL,2016,3.42
Chile,CHL,2017,5.81
Chile,CHL,2018,7.55
Chile,CHL,2019,6.66
China,CHN,2000,4.21
China,CHN,2001,4.63
China,CHN,2002,4.02
China,CHN,2003,4.21
China,CHN,2004,4.76
China,CHN,2005,6.08
China,CHN,2006,6.33
China,CHN,2007,5.59
China,CHN,2008,5.61
China,CHN,2009,6.51
China,CHN,2010,7.37
China,CHN,2011,5.67
China,CHN,2012,6.26
China,CHN,2013,7.95
China,CHN,2014,6.53
China,CHN,2015,5.59
China,CHN,2016,4.85
China,CHN,2017,4.78
China,CHN,2018,3.81
China,CHN,2019,3.21
Christmas Island,CXR,2000,0.44
Christmas Island,CXR,2001,1.37
Christmas Island,CXR,2002,0.66
Christmas Island,CXR,2003,3.44
Christmas Island,CXR,2004,0.62
Christmas Island,CXR,2005,0.59
Christmas Island,CXR,2006,7.59
Christmas Island,CXR,2007,3.65
Christmas Island,CXR,2008,1.77
Christmas Island,CXR,2009,0.06
Christmas Island,CXR,2010,0.03
Christmas Island,CXR,2011,0.43
Christmas Island,CXR,2012,0.85
Christmas Island,CXR,2013,0.2
Christmas Island,CXR,2014,0.22
Christmas Island,CXR,2015,1.2
Christmas Island,CXR,2016,0.01
Christmas Island,CXR,2017,2.67
Christmas Island,CXR,2018,1.59
Christmas Island,CXR,2019,6.91
Cocos Islands,CCK,2000,6.26
Cocos Islands,CCK,2001,0.69
Cocos Islands,CCK,2002,0.21
Cocos Islands,CCK,2003,4.7
Cocos Islands,CCK,2004,0.94
Cocos Islands,CCK,2005,0.15
Cocos Islands,CCK,2006,4.18
Cocos Islands,CCK,2007,5.1
Cocos Islands,CCK,2008,4.03
Cocos Islands,CCK,2009,2.32
Cocos Islands,CCK,2010,0.02
Cocos Islands,CCK,2011,0.4
Cocos Islands,CCK,2012,0.28
Cocos Islands,CCK,2013,2.29
Cocos Islands,CCK,2014,0.49
Cocos Islands,CCK,2015,0.25
Cocos Islands,CCK,2016,0.05
Cocos Islands,CCK,2017,3.59
Cocos Islands,CCK,2018,5.11
Cocos Islands,CCK,2019,5.76
Colombia,COL,2000,3.58
Colombia,COL,2001,6.84
Colombia,COL,2002,2.67
Colombia,COL,2003,2.43
Colombia,COL,2004,1.41
Colombia,COL,2005,2.59
Colombia,COL,2006,3.67
Colombia,COL,2007,2.23
Colombia,COL,2008,1.38
Colombia,COL,2009,2.19
Colombia,COL,2010,1.96
Colombia,COL,2011,3.56
Colombia,COL,2012,1.9
Colombia,COL,2013,2.74
Colombia,COL,2014,2.01
Colombia,COL,2015,3.02
Colombia,COL,2016,1.32
Colombia,COL,2017,2.01
Colombia,COL,2018,2.21
Colombia,COL,2019,2.28
Comoros,COM,2000,0.43
Comoros,COM,2001,0.84
Comoros,COM,2002,1.42
Comoros,COM,2003,4.04
Comoros,COM,2004,0.09
Comoros,COM,2005,2.24
Comoros,COM,2006,0.59
Comoros,COM,2007,1.2
Comoros,COM,2008,0.49
Comoros,COM,2009,0.01
Comoros,COM,2010,0.33
Comoros,COM,2011,0.23
Comoros,COM,2012,1.77
Comoros,COM,2013,0.63
Comoros,COM,2014,0.04
Comoros,COM,2015,1.91
Comoros,COM,2016,1
Comoros,COM,2017,0.03
Comoros,COM,2018,0.27
Comoros,COM,2019,0.05
Congo,COG,2000,4.23
Congo,COG,2001,2.08
Congo,COG,2002,7.81
Congo,COG,2003,26.69
Congo,COG,2004,13.78
Congo,COG,2005,16.87
Congo,COG,2006,22.97
Congo,COG,2007,12.44
Congo,COG,2008,21.13
Congo,COG,2009,20.83
Congo,COG,2010,15.57
Congo,COG,2011,10.5
Congo,COG,2012,6.78
Congo,COG,2013,5.25
Congo,COG,2014,4.73
Congo,COG,2015,5.39
Congo,COG,2016,4.71
Congo,COG,2017,5.93
Congo,COG,2018,4.72
Congo,COG,2019,2.41
Cook Islands,COK,2000,0.99
Cook Islands,COK,2001,2.91
Cook Islands,COK,2002,1.96
Cook Islands,COK,2003,0.07
Cook Islands,COK,2004,0.42
Cook Islands,COK,2005,0.16
Cook Islands,COK,2006,0.09
Cook Islands,COK,2007,0.23
Cook Islands,COK,2008,0.83
Cook Islands,COK,2009,5.61
Cook Islands,COK,2010,0.33
Cook Islands,COK,2011,10.92
Cook Islands,COK,2012,2.64
Cook Islands,COK,2013,0.49
Cook Islands,COK,2014,0.35
Cook Islands,COK,2015,0.87
Cook Islands,COK,2016,0.05
Cook Islands,COK,2017,0.04
Cook Islands,COK,2018,0.17
Cook Islands,COK,2019,0.45
Costa Rica,CRI,2000,6.84
Costa Rica,CRI,2001,9.19
Costa Rica,CRI,2002,4.31
Costa Rica,CRI,2003,1.28
Costa Rica,CRI,2004,3
Costa Rica,CRI,2005,1.22
Costa Rica,CRI,2006,3.07
Costa Rica,CRI,2007,5.71
Costa Rica,CRI,2008,1.88
Costa Rica,CRI,2009,1.85
Costa Rica,CRI,2010,1.33
Costa Rica,CRI,2011,11.31
Costa Rica,CRI,2012,2.22
Costa Rica,CRI,2013,7.88
Costa Rica,CRI,2014,0.9
Costa Rica,CRI,2015,0.37
Costa Rica,CRI,2016,1.72
Costa Rica,CRI,2017,1.36
Costa Rica,CRI,2018,0.63
Costa Rica,CRI,2019,0.91
Cote d'Ivoire,CIV,2000,4.01
Cote d'Ivoire,CIV,2001,1.42
Cote d'Ivoire,CIV,2002,5.01
Cote d'Ivoire,CIV,2003,6.07
Cote d'Ivoire,CIV,2004,5.46
Cote d'Ivoire,CIV,2005,3.63
Cote d'Ivoire,CIV,2006,2.22
Cote d'Ivoire,CIV,2007,1.43
Cote d'Ivoire,CIV,2008,10.88
Cote d'Ivoire,CIV,2009,4.21
Cote d'Ivoire,CIV,2010,0.74
Cote d'Ivoire,CIV,2011,2.94
Cote d'Ivoire,CIV,2012,2.07
