Entity,Code,Year,14.b.1 - Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest) - ER_REG_SSFRAR
Malawi,MWI,2018,5
Malawi,MWI,2020,5
Malawi,MWI,2022,5
Malaysia,MYS,2018,3
Malaysia,MYS,2022,3
Maldives,MDV,2018,4
Maldives,MDV,2020,2
Mali,MLI,2018,5
Mali,MLI,2020,3
Malta,MLT,2018,4
Malta,MLT,2020,4
Malta,MLT,2022,5
Marshall Islands,MHL,2022,5
Mauritania,MRT,2018,4
Mauritius,MUS,2020,4
Mauritius,MUS,2022,4
Melanesia,OWID_MNS,2018,4
Mexico,MEX,2018,5
Mexico,MEX,2020,5
Mexico,MEX,2022,5
Micronesia (country),FSM,2018,4
Micronesia (country),FSM,2020,3
Micronesia (country),FSM,2022,4
Middle Africa,,2018,4
Middle Africa,,2022,3
Mongolia,MNG,2020,4
Montenegro,MNE,2020,5
Montenegro,MNE,2022,3
Morocco,MAR,2018,5
Morocco,MAR,2020,5
Morocco,MAR,2022,5
Myanmar,MMR,2018,4
Myanmar,MMR,2020,5
Namibia,NAM,2020,1
Namibia,NAM,2022,2
Nauru,NRU,2020,3
Nauru,NRU,2022,5
Nepal,NPL,2018,1
Nepal,NPL,2020,1
Nepal,NPL,2022,1
Netherlands,NLD,2018,4
Netherlands,NLD,2020,4
Netherlands,NLD,2022,5
New Zealand,NZL,2018,3
New Zealand,NZL,2020,3
Nicaragua,NIC,2018,5
Nicaragua,NIC,2022,4
Niger,NER,2018,5
North Macedonia,MKD,2020,2
Northern Africa,,2018,4
Northern Africa (exc. Sudan),,2018,4
Northern Africa and Western Asia,,2018,4
Northern Africa and Western Asia,,2020,5
Northern Africa and Western Asia,,2022,4
Northern America,,2018,4
Northern Europe,,2018,4
Northern Europe,,2020,4
Northern Europe,,2022,5
Oceania,,2018,3
Oceania,,2020,4
Oceania,,2022,5
Oceania (exc. Australia and New Zealand),,2018,4
Oceania (exc. Australia and New Zealand),,2020,4
Oceania (exc. Australia and New Zealand),,2022,5
Oman,OMN,2018,5
Oman,OMN,2020,5
Pakistan,PAK,2018,2
Pakistan,PAK,2020,4
Palau,PLW,2018,4
Palau,PLW,2020,3
Palau,PLW,2022,2
Panama,PAN,2020,5
Panama,PAN,2022,5
Peru,PER,2018,5
Peru,PER,2020,5
Peru,PER,2022,5
Philippines,PHL,2018,5
Philippines,PHL,2020,4
Philippines,PHL,2022,5
Poland,POL,2018,4
Poland,POL,2020,4
Poland,POL,2022,5
Polynesia,OWID_PYA,2018,3
Polynesia,OWID_PYA,2020,5
Polynesia,OWID_PYA,2022,5
Portugal,PRT,2018,4
Portugal,PRT,2020,4
Portugal,PRT,2022,5
Romania,ROU,2018,4
Romania,ROU,2020,4
Romania,ROU,2022,5
Russia,RUS,2018,3
Russia,RUS,2022,4
Saint Kitts and Nevis,KNA,2018,4
Saint Kitts and Nevis,KNA,2020,4
Saint Kitts and Nevis,KNA,2022,4
Saint Vincent and the Grenadines,VCT,2018,5
Saint Vincent and the Grenadines,VCT,2020,4
Saint Vincent and the Grenadines,VCT,2022,4
Samoa,WSM,2018,4
Samoa,WSM,2020,5
Samoa,WSM,2022,5
Sao Tome and Principe,STP,2018,5
Saudi Arabia,SAU,2020,5
Senegal,SEN,2018,5
Serbia,SRB,2020,4
Seychelles,SYC,2018,4
Seychelles,SYC,2022,4
Sierra Leone,SLE,2018,5
Slovakia,SVK,2018,4
Slovakia,SVK,2020,4
Slovakia,SVK,2022,5
Slovenia,SVN,2018,4
Slovenia,SVN,2020,4
Slovenia,SVN,2022,5
Small Island Developing States (SIDS),,2018,4
Small Island Developing States (SIDS),,2020,4
Small Island Developing States (SIDS),,2022,4
Solomon Islands,SLB,2018,4
Solomon Islands,SLB,2020,4
Solomon Islands,SLB,2022,5
Somalia,SOM,2018,5
South America,,2018,4
South America,,2020,4
South America,,2022,4
South Korea,KOR,2018,2
South-eastern Asia,,2018,4
South-eastern Asia,,2020,4
South-eastern Asia,,2022,5
Southern Africa,,2018,3
Southern Africa,,2020,2
Southern Asia,,2018,4
Southern Asia,,2020,2
Southern Asia,,2022,3
Southern Asia (excluding India),,2018,3
Southern Asia (excluding India),,2020,2
Southern Asia (excluding India),,2022,3
Southern Europe,,2018,4
Southern Europe,,2020,4
Southern Europe,,2022,5
Spain,ESP,2018,4
Spain,ESP,2020,4
Spain,ESP,2022,5
Sri Lanka,LKA,2018,4
Sub-Saharan Africa,,2018,4
Sub-Saharan Africa,,2020,4
Sub-Saharan Africa,,2022,4
Sub-Saharan Africa (inc. Sudan),,2018,4
Sub-Saharan Africa (inc. Sudan),,2022,4
Sudan,SDN,2018,4
Suriname,SUR,2018,4
Suriname,SUR,2020,4
Suriname,SUR,2022,5
Sweden,SWE,2018,4
Sweden,SWE,2020,4
Sweden,SWE,2022,5
Tajikistan,TJK,2018,4
Tajikistan,TJK,2022,2
Tanzania,TZA,2018,5
Tanzania,TZA,2022,5
Thailand,THA,2018,5
Thailand,THA,2020,5
Thailand,THA,2022,5
Tonga,TON,2018,2
Tonga,TON,2020,5
Trinidad and Tobago,TTO,2018,4
Trinidad and Tobago,TTO,2020,4
Trinidad and Tobago,TTO,2022,4
Turkey,TUR,2018,5
Turkey,TUR,2020,5
Turkey,TUR,2022,5
Uganda,UGA,2020,5
Ukraine,UKR,2020,2
United Arab Emirates,ARE,2022,4
United Kingdom,GBR,2018,4
United Kingdom,GBR,2022,4
Uruguay,URY,2018,5
Uruguay,URY,2020,4
Uzbekistan,UZB,2022,5
Vanuatu,VUT,2018,3
Venezuela,VEN,2018,4
Venezuela,VEN,2020,5
Venezuela,VEN,2022,5
Vietnam,VNM,2018,4
Vietnam,VNM,2020,4
Western Africa,,2018,4
Western Africa,,2020,4
Western Africa,,2022,5
Western Asia,,2018,3
Western Asia,,2020,5
Western Asia,,2022,4
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2018,4
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2020,5
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2022,5
Western Europe,,2018,4
Western Europe,,2020,4
Western Europe,,2022,5
World,OWID_WRL,2018,3
World,OWID_WRL,2020,4
World,OWID_WRL,2022,5
Yemen,YEM,2022,5
Zambia,ZMB,2022,5
Zimbabwe,ZWE,2018,4
