Entity,Code,Year,"14.6.1 - Progress by countries in the degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (level of implementation: 1 lowest to 5 highest) - ER_REG_UNFCIM"
Northern Africa,,2018,3
Northern Africa (exc. Sudan),,2018,3
Northern Africa and Western Asia,,2018,3
Northern Africa and Western Asia,,2020,4
Northern Africa and Western Asia,,2022,3
Northern America,,2018,5
Northern Europe,,2018,5
Northern Europe,,2020,5
Northern Europe,,2022,5
Norway,NOR,2018,4
Norway,NOR,2020,4
Norway,NOR,2022,4
Oceania,,2018,4
Oceania,,2020,3
Oceania,,2022,4
Oceania (exc. Australia and New Zealand),,2018,4
Oceania (exc. Australia and New Zealand),,2020,2
Oceania (exc. Australia and New Zealand),,2022,4
Oman,OMN,2018,5
Oman,OMN,2020,5
Pakistan,PAK,2018,3
Pakistan,PAK,2020,3
Palau,PLW,2018,2
Palau,PLW,2020,1
Palau,PLW,2022,4
Panama,PAN,2020,5
Panama,PAN,2022,5
Peru,PER,2018,3
Peru,PER,2020,4
Peru,PER,2022,4
Philippines,PHL,2018,5
Philippines,PHL,2020,5
Philippines,PHL,2022,4
Poland,POL,2018,5
Poland,POL,2020,5
Poland,POL,2022,5
Polynesia,OWID_PYA,2018,3
Polynesia,OWID_PYA,2020,2
Polynesia,OWID_PYA,2022,4
Portugal,PRT,2018,5
Portugal,PRT,2020,5
Portugal,PRT,2022,5
Romania,ROU,2018,5
Romania,ROU,2020,5
Romania,ROU,2022,5
Russia,RUS,2018,4
Russia,RUS,2022,5
Saint Kitts and Nevis,KNA,2020,4
Saint Kitts and Nevis,KNA,2022,4
Saint Martin (French part),MAF,2022,5
Saint Vincent and the Grenadines,VCT,2020,4
Samoa,WSM,2020,3
Samoa,WSM,2022,3
Sao Tome and Principe,STP,2018,3
Senegal,SEN,2018,5
Seychelles,SYC,2018,4
Seychelles,SYC,2022,4
Singapore,SGP,2022,2
Slovakia,SVK,2018,5
Slovakia,SVK,2020,5
Slovakia,SVK,2022,5
Slovenia,SVN,2018,5
Slovenia,SVN,2020,5
Slovenia,SVN,2022,5
Small Island Developing States (SIDS),,2018,3
Small Island Developing States (SIDS),,2020,3
Small Island Developing States (SIDS),,2022,4
Solomon Islands,SLB,2018,4
Solomon Islands,SLB,2020,3
Solomon Islands,SLB,2022,4
Somalia,SOM,2018,3
South America,,2018,4
South America,,2020,4
South America,,2022,4
South Korea,KOR,2018,5
South-eastern Asia,,2018,4
South-eastern Asia,,2020,5
South-eastern Asia,,2022,4
Southern Africa,,2018,5
Southern Asia,,2018,4
Southern Asia,,2020,4
Southern Asia,,2022,3
Southern Asia (excluding India),,2018,4
Southern Asia (excluding India),,2020,4
Southern Europe,,2018,5
Southern Europe,,2020,5
Southern Europe,,2022,5
Spain,ESP,2018,5
Spain,ESP,2020,5
Spain,ESP,2022,5
Sri Lanka,LKA,2018,5
Sub-Saharan Africa,,2018,4
Sub-Saharan Africa,,2020,3
Sub-Saharan Africa,,2022,3
Sub-Saharan Africa (inc. Sudan),,2018,4
Sub-Saharan Africa (inc. Sudan),,2022,3
Sudan,SDN,2018,2
Suriname,SUR,2018,2
Suriname,SUR,2020,2
Suriname,SUR,2022,2
Sweden,SWE,2018,5
Sweden,SWE,2020,5
Sweden,SWE,2022,5
Tajikistan,TJK,2018,2
Tanzania,TZA,2018,5
Tanzania,TZA,2022,3
Thailand,THA,2018,5
Thailand,THA,2020,5
Thailand,THA,2022,5
Tokelau,TKL,2020,1
Tonga,TON,2018,3
Trinidad and Tobago,TTO,2018,1
Trinidad and Tobago,TTO,2020,2
Trinidad and Tobago,TTO,2022,2
Turkey,TUR,2018,4
Turkey,TUR,2020,4
Turkey,TUR,2022,4
Ukraine,UKR,2020,2
Ukraine,UKR,2022,3
United Arab Emirates,ARE,2022,4
United Kingdom,GBR,2018,5
United Kingdom,GBR,2022,4
Uruguay,URY,2018,5
Uruguay,URY,2020,5
Vanuatu,VUT,2018,4
Vatican,VAT,2022,4
Venezuela,VEN,2018,2
Venezuela,VEN,2022,4
Vietnam,VNM,2018,4
Vietnam,VNM,2020,5
Western Africa,,2018,4
Western Africa,,2020,4
Western Africa,,2022,4
Western Asia,,2018,4
Western Asia,,2020,4
Western Asia,,2022,3
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2018,4
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2020,4
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2022,3
Western Europe,,2018,5
Western Europe,,2020,5
Western Europe,,2022,5
World,OWID_WRL,2018,3
World,OWID_WRL,2020,4
World,OWID_WRL,2022,4
Yemen,YEM,2022,2
Zambia,ZMB,2022,2
