Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"China, Macao Special Administrative Region",,,,,,,,,,,,,,0,0,0,0,0,0,0,
Christmas Island,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Cocos (Keeling) Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Colombia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Comoros,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Congo,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Cook Islands,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Costa Rica,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Côte d'Ivoire,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Croatia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Cuba,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Curaçao,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Cyprus,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Czechia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Democratic People's Republic of Korea,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Democratic Republic of the Congo,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Denmark,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Djibouti,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Dominica,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Dominican Republic,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Eastern and South-Eastern Asia,,,,,,,,,,,,,,8,9,9,9,9,9,10,
Eastern Asia,,,,,,,,,,,,,,2,3,3,3,3,3,4,
Ecuador,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Egypt,,,,,,,,,,,,,,1,1,1,1,1,1,1,
El Salvador,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Equatorial Guinea,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Eritrea,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Estonia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Eswatini,,,,,,,,,,,,,,0,1,1,1,1,1,1,
Ethiopia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Europe,,,,,,,,,,,,,,31,32,32,33,33,34,34,
Europe and Northern America,,,,,,,,,,,,,,32,33,33,34,34,36,36,
Falkland Islands (Malvinas),,,,,,,,,,,,,,0,0,0,0,0,0,0,
Faroe Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Fiji,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Finland,,,,,,,,,,,,,,1,1,1,1,1,1,1,
France,,,,,,,,,,,,,,1,1,1,1,1,1,1,
French Guiana,,,,,,,,,,,,,,0,0,0,0,0,0,0,
French Polynesia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
French Southern Territories,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Gabon,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Gambia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Georgia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Germany,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Ghana,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Gibraltar,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Greece,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Greenland,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Grenada,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Guadeloupe,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Guam,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Guatemala,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Guernsey,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Guinea,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Guinea-Bissau,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Guyana,,,,,,,,,,,,,,0,0,0,0,1,1,1,
Haiti,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Heard Island and McDonald Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Holy See,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Honduras,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Hungary,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Iceland,,,,,,,,,,,,,,1,1,1,1,1,1,1,
India,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Indonesia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Iran (Islamic Republic of),,,,,,,,,,,,,,1,1,1,1,1,1,1,
Iraq,,,,,,,,,,,,,,0,0,1,1,1,1,1,
Ireland,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Isle of Man,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Israel,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Italy,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Jamaica,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Japan,,,,,,,,,,,,,,0,1,1,1,1,1,1,
Jersey,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Jordan,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Kazakhstan,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Kenya,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Kiribati,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Kuwait,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Kyrgyzstan,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Landlocked developing countries (LLDCs),,,,,,,,,,,,,,20,21,21,22,23,23,24,
Lao People's Democratic Republic,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Latin America and the Caribbean,,,,,,,,,,,,,,16,16,16,16,20,21,21,
Latvia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Least Developed Countries (LDCs),,,,,,,,,,,,,,37,37,37,37,38,38,38,
Lebanon,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Lesotho,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Liberia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Libya,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Liechtenstein,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Lithuania,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Luxembourg,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Madagascar,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Malawi,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Malaysia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Maldives,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Mali,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Malta,,,,,,,,,,,,,,0,0,0,0,0,1,1,
Marshall Islands,,,,,,,,,,,,,,0,0,1,1,1,1,1,
Martinique,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Mauritania,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Mauritius,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Mayotte,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Mexico,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Micronesia (Federated States of),,,,,,,,,,,,,,0,0,0,0,0,0,0,
Monaco,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Mongolia,,,,,,,,,,,,,,0,0,0,0,0,0,1,
Montenegro,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Montserrat,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Morocco,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Mozambique,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Myanmar,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Namibia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Nauru,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Nepal,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Netherlands,,,,,,,,,,,,,,1,1,1,1,1,1,1,
New Caledonia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
New Zealand,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Nicaragua,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Niger,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Nigeria,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Niue,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Norfolk Island,,,,,,,,,,,,,,0,0,0,0,0,0,0,
North Macedonia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Northern Africa,,,,,,,,,,,,,,6,6,6,6,6,6,6,
Northern Africa and Western Asia,,,,,,,,,,,,,,18,18,19,19,19,19,19,
Northern America,,,,,,,,,,,,,,1,1,1,1,1,2,2,
Northern Mariana Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Norway,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Oceania,,,,,,,,,,,,,,6,6,7,9,10,10,10,
Oceania (exc. Australia and New Zealand),,,,,,,,,,,,,,5,5,6,8,9,9,9,
Oman,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Pakistan,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Palau,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Panama,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Papua New Guinea,,,,,,,,,,,,,,0,0,0,1,1,1,1,
Paraguay,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Peru,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Philippines,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Pitcairn,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Poland,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Portugal,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Puerto Rico,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Qatar,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Republic of Korea,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Republic of Moldova,,,,,,,,,,,,,,0,0,0,1,1,1,1,
Réunion,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Romania,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Russian Federation,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Rwanda,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Saint Barthélemy,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Saint Helena,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Saint Kitts and Nevis,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Saint Lucia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Saint Martin (French Part),,,,,,,,,,,,,,0,0,0,0,0,0,0,
Saint Pierre and Miquelon,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Samoa,,,,,,,,,,,,,,1,1,1,1,1,1,1,
San Marino,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Sao Tome and Principe,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Saudi Arabia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Senegal,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Serbia,,,,,,,,,,,,,,0,1,1,1,1,1,1,
Seychelles,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Sierra Leone,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Singapore,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Sint Maarten (Dutch part),,,,,,,,,,,,,,0,0,0,0,0,0,0,
Slovakia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Slovenia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Small island developing States (SIDS),,,,,,,,,,,,,,14,14,15,17,19,20,20,
Solomon Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Somalia,,,,,,,,,,,,,,0,0,0,0,0,0,0,
South Africa,,,,,,,,,,,,,,0,0,0,0,0,0,0,
South Georgia and the South Sandwich Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
South Sudan,,,,,,,,,,,,,,0,0,0,0,0,0,0,
South-Eastern Asia,,,,,,,,,,,,,,6,6,6,6,6,6,6,
Southern Asia,,,,,,,,,,,,,,8,9,9,9,9,9,9,
Spain,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Sri Lanka,,,,,,,,,,,,,,0,1,1,1,1,1,1,
State of Palestine,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Sub-Saharan Africa,,,,,,,,,,,,,,37,38,38,38,38,38,38,
Sudan,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Suriname,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Svalbard and Jan Mayen Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Sweden,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Switzerland,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Syrian Arab Republic,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Tajikistan,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Thailand,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Timor-Leste,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Togo,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Tokelau,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Tonga,,,,,,,,,,,,,,0,0,0,1,1,1,1,
Trinidad and Tobago,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Tunisia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Turkey,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Turkmenistan,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Turks and Caicos Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Tuvalu,,,,,,,,,,,,,,0,0,0,0,1,1,1,
Uganda,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Ukraine,,,,,,,,,,,,,,0,0,0,0,0,0,0,
United Arab Emirates,,,,,,,,,,,,,,1,1,1,1,1,1,1,
United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,1,1,1,1,1,1,1,
United Republic of Tanzania,,,,,,,,,,,,,,1,1,1,1,1,1,1,
United States Minor Outlying Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
United States of America,,,,,,,,,,,,,,0,0,0,0,0,1,1,
United States Virgin Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Uruguay,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Uzbekistan,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Vanuatu,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,1,1,1,1,1,1,1,
Viet Nam,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Wallis and Futuna Islands,,,,,,,,,,,,,,0,0,0,0,0,0,0,
Western Asia,,,,,,,,,,,,,,12,12,13,13,13,13,13,
Western Sahara,,,,,,,,,,,,,,0,0,0,0,0,0,0,
World,,,,,,,,,,,,,,126,130,132,135,140,143,144,
Yemen,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Zambia,,,,,,,,,,,,,,1,1,1,1,1,1,1,
Zimbabwe,,,,,,,,,,,,,,1,1,1,1,1,1,1,
