GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
422,Lebanon,,,,,,,,,,,,,,,,,,,1
426,Lesotho,,,,,,,,,,,,,,,,,,,NaN
430,Liberia,,,,,,,,,,,,,,,,,,,NaN
434,Libya,,,,,,,,,,,,,,,,,,,2
438,Liechtenstein,,,,,,,,,,,,,,,,,,,N
440,Lithuania,,,,,,,,,,,,,,,,,,,5
442,Luxembourg,,,,,,,,,,,,,,,,,,,5
450,Madagascar,,,,,,,,,,,,,,,,,,,4
454,Malawi,,,,,,,,,,,,,,,,,,,2
458,Malaysia,,,,,,,,,,,,,,,,,,,3
462,Maldives,,,,,,,,,,,,,,,,,,,3
466,Mali,,,,,,,,,,,,,,,,,,,1
470,Malta,,,,,,,,,,,,,,,,,,,5
584,Marshall Islands,,,,,,,,,,,,,,,,,,,NaN
474,Martinique,,,,,,,,,,,,,,,,,,,N
478,Mauritania,,,,,,,,,,,,,,,,,,,4
480,Mauritius,,,,,,,,,,,,,,,,,,,NaN
175,Mayotte,,,,,,,,,,,,,,,,,,,N
54,Melanesia,,,,,,,,,,,,,,,,,,,5
484,Mexico,,,,,,,,,,,,,,,,,,,4
57,Micronesia,,,,,,,,,,,,,,,,,,,3
583,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,4
492,Monaco,,,,,,,,,,,,,,,,,,,NaN
496,Mongolia,,,,,,,,,,,,,,,,,,,NaN
499,Montenegro,,,,,,,,,,,,,,,,,,,NaN
500,Montserrat,,,,,,,,,,,,,,,,,,,N
504,Morocco,,,,,,,,,,,,,,,,,,,5
508,Mozambique,,,,,,,,,,,,,,,,,,,NaN
104,Myanmar,,,,,,,,,,,,,,,,,,,3
516,Namibia,,,,,,,,,,,,,,,,,,,5
520,Nauru,,,,,,,,,,,,,,,,,,,NaN
524,Nepal,,,,,,,,,,,,,,,,,,,N
528,Netherlands,,,,,,,,,,,,,,,,,,,5
540,New Caledonia,,,,,,,,,,,,,,,,,,,N
554,New Zealand,,,,,,,,,,,,,,,,,,,5
558,Nicaragua,,,,,,,,,,,,,,,,,,,3
562,Niger,,,,,,,,,,,,,,,,,,,N
566,Nigeria,,,,,,,,,,,,,,,,,,,NaN
570,Niue,,,,,,,,,,,,,,,,,,,NaN
574,Norfolk Island,,,,,,,,,,,,,,,,,,,N
807,North Macedonia,,,,,,,,,,,,,,,,,,,NaN
580,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,N
578,Norway,,,,,,,,,,,,,,,,,,,4
512,Oman,,,,,,,,,,,,,,,,,,,5
586,Pakistan,,,,,,,,,,,,,,,,,,,3
585,Palau,,,,,,,,,,,,,,,,,,,2
591,Panama,,,,,,,,,,,,,,,,,,,NaN
598,Papua New Guinea,,,,,,,,,,,,,,,,,,,NaN
600,Paraguay,,,,,,,,,,,,,,,,,,,NaN
604,Peru,,,,,,,,,,,,,,,,,,,3
608,Philippines,,,,,,,,,,,,,,,,,,,5
612,Pitcairn,,,,,,,,,,,,,,,,,,,N
616,Poland,,,,,,,,,,,,,,,,,,,5
61,Polynesia,,,,,,,,,,,,,,,,,,,3
620,Portugal,,,,,,,,,,,,,,,,,,,5
630,Puerto Rico,,,,,,,,,,,,,,,,,,,N
634,Qatar,,,,,,,,,,,,,,,,,,,NaN
410,Republic of Korea,,,,,,,,,,,,,,,,,,,5
498,Republic of Moldova,,,,,,,,,,,,,,,,,,,NaN
638,Réunion,,,,,,,,,,,,,,,,,,,N
642,Romania,,,,,,,,,,,,,,,,,,,5
643,Russian Federation,,,,,,,,,,,,,,,,,,,4
646,Rwanda,,,,,,,,,,,,,,,,,,,NaN
652,Saint Barthélemy,,,,,,,,,,,,,,,,,,,N
654,Saint Helena,,,,,,,,,,,,,,,,,,,N
659,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,NV
662,Saint Lucia,,,,,,,,,,,,,,,,,,,NaN
663,Saint Martin (French Part),,,,,,,,,,,,,,,,,,,N
666,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,N
670,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,NV
882,Samoa,,,,,,,,,,,,,,,,,,,NV
674,San Marino,,,,,,,,,,,,,,,,,,,NaN
678,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,3
682,Saudi Arabia,,,,,,,,,,,,,,,,,,,NaN
686,Senegal,,,,,,,,,,,,,,,,,,,5
688,Serbia,,,,,,,,,,,,,,,,,,,NaN
690,Seychelles,,,,,,,,,,,,,,,,,,,4
694,Sierra Leone,,,,,,,,,,,,,,,,,,,NV
702,Singapore,,,,,,,,,,,,,,,,,,,NV
534,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,N
703,Slovakia,,,,,,,,,,,,,,,,,,,5
705,Slovenia,,,,,,,,,,,,,,,,,,,5
90,Solomon Islands,,,,,,,,,,,,,,,,,,,4
706,Somalia,,,,,,,,,,,,,,,,,,,3
710,South Africa,,,,,,,,,,,,,,,,,,,NV
239,South Georgia and the South Sandwich Islands,,,,,,,,,,,,,,,,,,,N
728,South Sudan,,,,,,,,,,,,,,,,,,,NaN
724,Spain,,,,,,,,,,,,,,,,,,,5
144,Sri Lanka,,,,,,,,,,,,,,,,,,,5
275,State of Palestine,,,,,,,,,,,,,,,,,,,N
729,Sudan,,,,,,,,,,,,,,,,,,,2
740,Suriname,,,,,,,,,,,,,,,,,,,2
744,Svalbard and Jan Mayen Islands,,,,,,,,,,,,,,,,,,,N
752,Sweden,,,,,,,,,,,,,,,,,,,5
756,Switzerland,,,,,,,,,,,,,,,,,,,N
760,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,NaN
762,Tajikistan,,,,,,,,,,,,,,,,,,,2
764,Thailand,,,,,,,,,,,,,,,,,,,5
626,Timor-Leste,,,,,,,,,,,,,,,,,,,NaN
768,Togo,,,,,,,,,,,,,,,,,,,NaN
772,Tokelau,,,,,,,,,,,,,,,,,,,NaN
776,Tonga,,,,,,,,,,,,,,,,,,,3
780,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,1
788,Tunisia,,,,,,,,,,,,,,,,,,,NaN
792,Turkey,,,,,,,,,,,,,,,,,,,4
795,Turkmenistan,,,,,,,,,,,,,,,,,,,NaN
796,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,N
798,Tuvalu,,,,,,,,,,,,,,,,,,,NaN
800,Uganda,,,,,,,,,,,,,,,,,,,NaN
804,Ukraine,,,,,,,,,,,,,,,,,,,NaN
784,United Arab Emirates,,,,,,,,,,,,,,,,,,,NaN
826,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,5
834,United Republic of Tanzania,,,,,,,,,,,,,,,,,,,5
581,United States Minor Outlying Islands,,,,,,,,,,,,,,,,,,,N
840,United States of America,,,,,,,,,,,,,,,,,,,NV
850,United States Virgin Islands,,,,,,,,,,,,,,,,,,,N
858,Uruguay,,,,,,,,,,,,,,,,,,,5
860,Uzbekistan,,,,,,,,,,,,,,,,,,,NaN
548,Vanuatu,,,,,,,,,,,,,,,,,,,4
862,Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,2
704,Viet Nam,,,,,,,,,,,,,,,,,,,4
876,Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,N
887,Yemen,,,,,,,,,,,,,,,,,,,NaN
894,Zambia,,,,,,,,,,,,,,,,,,,NV
716,Zimbabwe,,,,,,,,,,,,,,,,,,,N
