GeoAreaCode,GeoAreaName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
428,Latvia,,,,,,,,,,,,,,,,,,,4
422,Lebanon,,,,,,,,,,,,,,,,,,,3
426,Lesotho,,,,,,,,,,,,,,,,,,,NaN
430,Liberia,,,,,,,,,,,,,,,,,,,NaN
434,Libya,,,,,,,,,,,,,,,,,,,3
438,Liechtenstein,,,,,,,,,,,,,,,,,,,N
440,Lithuania,,,,,,,,,,,,,,,,,,,4
442,Luxembourg,,,,,,,,,,,,,,,,,,,4
450,Madagascar,,,,,,,,,,,,,,,,,,,3
454,Malawi,,,,,,,,,,,,,,,,,,,5
458,Malaysia,,,,,,,,,,,,,,,,,,,3
462,Maldives,,,,,,,,,,,,,,,,,,,4
466,Mali,,,,,,,,,,,,,,,,,,,5
470,Malta,,,,,,,,,,,,,,,,,,,4
584,Marshall Islands,,,,,,,,,,,,,,,,,,,NaN
474,Martinique,,,,,,,,,,,,,,,,,,,N
478,Mauritania,,,,,,,,,,,,,,,,,,,4
480,Mauritius,,,,,,,,,,,,,,,,,,,NaN
175,Mayotte,,,,,,,,,,,,,,,,,,,N
54,Melanesia,,,,,,,,,,,,,,,,,,,4
484,Mexico,,,,,,,,,,,,,,,,,,,5
57,Micronesia,,,,,,,,,,,,,,,,,,,4
583,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,N
492,Monaco,,,,,,,,,,,,,,,,,,,NaN
496,Mongolia,,,,,,,,,,,,,,,,,,,NaN
499,Montenegro,,,,,,,,,,,,,,,,,,,NaN
500,Montserrat,,,,,,,,,,,,,,,,,,,N
504,Morocco,,,,,,,,,,,,,,,,,,,5
508,Mozambique,,,,,,,,,,,,,,,,,,,NaN
104,Myanmar,,,,,,,,,,,,,,,,,,,4
516,Namibia,,,,,,,,,,,,,,,,,,,N
520,Nauru,,,,,,,,,,,,,,,,,,,NaN
524,Nepal,,,,,,,,,,,,,,,,,,,1
528,Netherlands,,,,,,,,,,,,,,,,,,,4
540,New Caledonia,,,,,,,,,,,,,,,,,,,N
554,New Zealand,,,,,,,,,,,,,,,,,,,3
558,Nicaragua,,,,,,,,,,,,,,,,,,,5
562,Niger,,,,,,,,,,,,,,,,,,,5
566,Nigeria,,,,,,,,,,,,,,,,,,,NaN
570,Niue,,,,,,,,,,,,,,,,,,,NaN
574,Norfolk Island,,,,,,,,,,,,,,,,,,,N
807,North Macedonia,,,,,,,,,,,,,,,,,,,NaN
580,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,N
578,Norway,,,,,,,,,,,,,,,,,,,N
512,Oman,,,,,,,,,,,,,,,,,,,5
586,Pakistan,,,,,,,,,,,,,,,,,,,2
585,Palau,,,,,,,,,,,,,,,,,,,4
591,Panama,,,,,,,,,,,,,,,,,,,NaN
598,Papua New Guinea,,,,,,,,,,,,,,,,,,,NaN
600,Paraguay,,,,,,,,,,,,,,,,,,,NaN
604,Peru,,,,,,,,,,,,,,,,,,,5
608,Philippines,,,,,,,,,,,,,,,,,,,5
612,Pitcairn,,,,,,,,,,,,,,,,,,,N
616,Poland,,,,,,,,,,,,,,,,,,,4
61,Polynesia,,,,,,,,,,,,,,,,,,,3
620,Portugal,,,,,,,,,,,,,,,,,,,4
630,Puerto Rico,,,,,,,,,,,,,,,,,,,N
634,Qatar,,,,,,,,,,,,,,,,,,,NaN
410,Republic of Korea,,,,,,,,,,,,,,,,,,,2
498,Republic of Moldova,,,,,,,,,,,,,,,,,,,NaN
638,Réunion,,,,,,,,,,,,,,,,,,,N
642,Romania,,,,,,,,,,,,,,,,,,,4
643,Russian Federation,,,,,,,,,,,,,,,,,,,3
646,Rwanda,,,,,,,,,,,,,,,,,,,NaN
652,Saint Barthélemy,,,,,,,,,,,,,,,,,,,N
654,Saint Helena,,,,,,,,,,,,,,,,,,,N
659,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,4
662,Saint Lucia,,,,,,,,,,,,,,,,,,,NaN
663,Saint Martin (French Part),,,,,,,,,,,,,,,,,,,N
666,Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,N
670,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,5
882,Samoa,,,,,,,,,,,,,,,,,,,4
674,San Marino,,,,,,,,,,,,,,,,,,,NaN
678,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,5
682,Saudi Arabia,,,,,,,,,,,,,,,,,,,NaN
686,Senegal,,,,,,,,,,,,,,,,,,,5
688,Serbia,,,,,,,,,,,,,,,,,,,NaN
690,Seychelles,,,,,,,,,,,,,,,,,,,4
694,Sierra Leone,,,,,,,,,,,,,,,,,,,5
702,Singapore,,,,,,,,,,,,,,,,,,,N
534,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,N
703,Slovakia,,,,,,,,,,,,,,,,,,,4
705,Slovenia,,,,,,,,,,,,,,,,,,,4
90,Solomon Islands,,,,,,,,,,,,,,,,,,,4
706,Somalia,,,,,,,,,,,,,,,,,,,5
710,South Africa,,,,,,,,,,,,,,,,,,,N
239,South Georgia and the South Sandwich Islands,,,,,,,,,,,,,,,,,,,N
728,South Sudan,,,,,,,,,,,,,,,,,,,NaN
724,Spain,,,,,,,,,,,,,,,,,,,4
144,Sri Lanka,,,,,,,,,,,,,,,,,,,4
275,State of Palestine,,,,,,,,,,,,,,,,,,,N
729,Sudan,,,,,,,,,,,,,,,,,,,4
740,Suriname,,,,,,,,,,,,,,,,,,,4
744,Svalbard and Jan Mayen Islands,,,,,,,,,,,,,,,,,,,N
752,Sweden,,,,,,,,,,,,,,,,,,,4
756,Switzerland,,,,,,,,,,,,,,,,,,,N
760,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,NaN
762,Tajikistan,,,,,,,,,,,,,,,,,,,4
764,Thailand,,,,,,,,,,,,,,,,,,,5
626,Timor-Leste,,,,,,,,,,,,,,,,,,,NaN
768,Togo,,,,,,,,,,,,,,,,,,,NaN
772,Tokelau,,,,,,,,,,,,,,,,,,,NaN
776,Tonga,,,,,,,,,,,,,,,,,,,2
780,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,4
788,Tunisia,,,,,,,,,,,,,,,,,,,NaN
792,Turkey,,,,,,,,,,,,,,,,,,,5
795,Turkmenistan,,,,,,,,,,,,,,,,,,,NaN
796,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,N
798,Tuvalu,,,,,,,,,,,,,,,,,,,NaN
800,Uganda,,,,,,,,,,,,,,,,,,,NaN
804,Ukraine,,,,,,,,,,,,,,,,,,,NaN
784,United Arab Emirates,,,,,,,,,,,,,,,,,,,NaN
826,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,,,,,,,,4
834,United Republic of Tanzania,,,,,,,,,,,,,,,,,,,5
581,United States Minor Outlying Islands,,,,,,,,,,,,,,,,,,,N
840,United States of America,,,,,,,,,,,,,,,,,,,NV
850,United States Virgin Islands,,,,,,,,,,,,,,,,,,,N
858,Uruguay,,,,,,,,,,,,,,,,,,,5
860,Uzbekistan,,,,,,,,,,,,,,,,,,,NaN
548,Vanuatu,,,,,,,,,,,,,,,,,,,3
862,Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,4
704,Viet Nam,,,,,,,,,,,,,,,,,,,4
876,Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,N
887,Yemen,,,,,,,,,,,,,,,,,,,NaN
894,Zambia,,,,,,,,,,,,,,,,,,,NV
716,Zimbabwe,,,,,,,,,,,,,,,,,,,4
